title,url,date,source,summary,cover,aid,appmsgid,score,reason,value
广州市人民政府办公厅关于印发广州市促进人工智能产业高质量发展实施方案的通知,https://www.gkzhan.com/news/detail/190827.html,04月01日,智能制造网,,,,,1,未通过规则过滤: 标题包含过滤关键词: 通知,低
黑龙江省工业和信息化厅 黑龙江省财政厅关于印发《黑龙江省培育发展新食品奖励政策实施细则》的通知,https://www.gkzhan.com/news/detail/190711.html,03月27日,智能制造网,,,,,1,未通过规则过滤: 标题包含过滤关键词: 通知,低
成都“十五五”规划：布局绿色氢氨醇赛道，构建“一廊多路”氢交通体系,http://www.china-nengyuan.com/news/245397.html,2026-04-01,新能源网,,,,,2,文章仅呈现了网页头部导航栏、广告位、会员入口及栏目链接等通用网站模板代码，未包含任何实质性内容（如规划目标、政策条款、技术路径、投资规模、实施时间表或权威引述）。标题虽具政策价值，但正文缺失，无法验证信息真实性、具体性或可操作性。属于典型的‘标题党’式页面快照，无事实支撑、无数据、无分析，不具备信息参考价值。,低
深圳出台行动计划 零碳数据中心纳入 AI 产业链核心任务,http://www.china-nengyuan.com/news/245386.html,2026-04-01,新能源网,,,,,2,与文章1完全同构：仅有新能源网标准页眉、导航栏、广告模块和栏目链接，无实际正文内容。标题提及‘零碳数据中心纳入AI产业链核心任务’具有前沿政策敏感性，但全文未提供行动计划名称、发文单位、量化指标（如PUE限值、绿电采购比例、试点名单）、责任分工或实施路径。纯模板化页面，零信息增量，无法用于政策研判、产业研究或商业决策。,低
甘肃省：培育建设绿电绿氢零碳园区,http://www.china-nengyuan.com/news/245312.html,2026-03-31,新能源网,,,,,2,结构与前两篇一致，仅为新能源网新闻频道的标准HTML框架页，不含甘肃省政策原文、园区建设标准、示范名单、支持措施或时间节点等关键要素。标题中‘绿电绿氢零碳园区’是重要方向，但缺失定义（如绿电占比阈值、氢气制取方式、碳核算边界）、空间布局或财政/土地配套政策，导致无法评估其落地可行性与区域影响。信息完整性为零，属无效信源。,低
系统循环效率大于89%锂电储能、时长大于4小时全钒液流储能项目给予优先支持！河南省发布新型储能高质量发展若干措施,http://www.china-nengyuan.com/news/245021.html,2026-03-26,新能源网,,,,,3,仍为模板化页面，但标题含具体技术参数（‘系统循环效率＞89%’‘时长＞4小时’）和明确政策工具（‘优先支持’），暗示存在可量化的产业引导逻辑。相比前3篇，该标题提供了可验证的技术门槛和政策信号，具备一定线索价值；然而正文完全缺失，无法确认是否出自河南省政府文件、适用范围（新建/存量项目？）、支持力度（资金/并网/审批？）及实施细则，深度与实用性严重不足。,低
今年沈阳将更新老化燃气管网252公里,https://cpnn.com.cn/news/dfny/202603/t20260331_1878015.html,2026-03-31,中国能源新闻网,,,,,3,信息价值低：仅标题提及‘沈阳更新老化燃气管网252公里’，正文完全缺失（全文为网站版权页、备案信息及法律声明），无任何事实、数据、背景或政策依据；时效性表面合格（2026-03-31），但因内容空缺无法验证真实性或时效效用；深度、相关性、实用性均为零——未涉及能源转型核心技术（如绿氢替代、智慧燃气）、新型电力系统关联，也无工程标准、资金来源、安全效益等实用信息；属于无效信息源，不具备参考或决策支持价值。,低
陇东能源城——从“一油独大”到“多能迸发”,https://cpnn.com.cn/news/dfny/202603/t20260331_1877915.html,2026-03-31,中国能源新闻网,,,,,4,信息价值偏低：标题具传播力（‘一油独大→多能迸发’），暗示陇东能源结构转型，但正文完全缺失，仅剩网站版权页、ICP备案、许可证等元信息；无任何关于新能源装机规模、油气转型路径、特高压外送进展、风光火储一体化项目等实质性内容；时效性无法评估（日期为2026-03-31，但无事件锚点）；深度、相关性、实用性均不可考——虽‘陇东能源城’属国家重要能源基地，潜在话题价值高，但当前文本未承载任何有效信息，仅相当于一个失效链接占位符，对研究者或从业者无实质帮助。,低
新疆经济看点：新疆能源生产满弓劲发,https://cpnn.com.cn/news/dfny/202603/t20260331_1877819.html,2026-03-31,中国能源新闻网,,,,,2,文章仅提供了网站页眉、版权信息、导航链接及合规资质声明，完全缺失实质性新闻内容（如数据、事实、引述、分析或事件描述）。标题‘新疆经济看点：新疆能源生产满弓劲发’暗示应有具体产能、增速、项目进展或政策解读，但正文中未出现任何有效信息。属于网页模板占位或加载失败的空页面，无信息价值、无时效体现（虽标注2026-03-31，但内容为零）、无深度、与标题严重脱节、无实用参考性。,低
装机规模超1.6亿千瓦 新疆新能源产业活力迸发,https://cpnn.com.cn/news/dfny/202603/t20260330_1877681.html,2026-03-30,中国能源新闻网,,,,,2,与文章1结构完全一致：仅有重复的网站头部、版权申明、备案信息和导航栏，无任何正文内容。标题‘装机规模超1.6亿千瓦 新疆新能源产业活力迸发’具备潜在高价值（含具体量化指标），但全文未呈现该数据来源、统计口径、时间范围、构成（风电/光伏/储能）、对比基准或产业影响分析。纯属空标题+模板页，信息价值为零，时效性无法验证，深度与实用性均缺失。,低
